,Unnamed: 0,Unnamed: 0.1,hmid,wid,reflection_period,original_hm,modified,num_sentence,ground_truth_category,predicted_category,match,sentence
893,3235,2706,30396.0,3304.0,24h,I was happy when I got my driver's license renewed. It had been months since they were expired.,True,2.0,,achievement,1.0,It had been months since they were expired.
1056,23577,19134,46915.0,1458.0,24h,I actually got a chance at love again. My ex from high school came to town and showed me a great time and we had a chance to really sit down and talk. I am in love.,True,3.0,,affection,1.0,My ex from high school came to town and showed me a great time and we had a chance to really sit down and talk.
1139,2470,2170,29858.0,10726.0,24h,"Last month, I got selection in a Government Examination.That moment of joy I cannot really express.....",True,1.0,,achievement,1.0,That moment of joy I cannot really express.
206,14320,11257,38999.0,916.0,24h,I went to the gym and had a good workout.,True,1.0,,exercise,0.0,I went to the gym and had a good workout.
1184,9569,7579,35307.0,1929.0,24h,I went to a new italian restaurant that recently opened.  It was surprisingly good.  The wine was great.  The food for authentic and excellent.,True,4.0,,enjoy_the_moment,0.0,I went to a new italian restaurant that recently opened.
1085,18028,14342,42102.0,464.0,24h,I got a recent rejection reversed and paid. It was a rejection that was really bugging me over the past couple of days and it felt great to see it gone.,True,2.0,,achievement,0.0,I got a recent rejection reversed and paid.
441,184010,90349,118522.0,12597.0,24h,During the afternoon I made a small sale on some of my homemade goods and this was the first sale since starting up my store.,True,1.0,achievement,achievement,0.0,During the afternoon I made a small sale on some of my homemade goods and this was the first sale since starting up my store.
667,17049,13510,41266.0,439.0,24h,"when my dad came to home after a long business trip today, i was very happy seeing him after so long. i was missing my dad very much and when today when i saw him i became very happy.i just love my dad. he is a very nice and caring person and i love it.",True,3.0,,affection,3.0,he is a very nice and caring person and i love it.
748,49003,39744,67637.0,2398.0,3m,Got approved for my first credit card.,True,1.0,,achievement,0.0,Got approved for my first credit card.
520,137029,51177,79115.0,10935.0,3m,On my way to work I stumbled upon a twenty dollar bill on the road being blown by the wind. ,True,1.0,enjoy_the_moment,enjoy_the_moment,0.0,On my way to work I stumbled upon a twenty dollar bill on the road being blown by the wind.
478,45078,36752,64632.0,240.0,3m,I went for a jog outside.,True,1.0,,exercise,0.0,I went for a jog outside.
429,21984,17768,45543.0,7416.0,24h,I accomplished all of my goals for the day.,True,1.0,,achievement,0.0,I accomplished all of my goals for the day.
1443,31369,26134,53947.0,1598.0,24h,I played fetch with my dog.,True,1.0,affection,affection,0.0,I played fetch with my dog.
825,174073,81653,109767.0,7756.0,24h,I received a head rub from a friend.,True,1.0,,bonding,0.0,I received a head rub from a friend.
175,7640,6142,33862.0,1353.0,24h,"I had a short day at work.
I went for a nice walk in the woods.
I saw my granddaughter.",True,3.0,,nature,2.0,"
I saw my granddaughter."
390,15300,12044,39791.0,11216.0,24h,"My sister called from her home 600 miles away to tell me she will be attending my college graduation, despite previously telling me she couldn't make it .",True,1.0,,affection,0.0,"My sister called from her home 600 miles away to tell me she will be attending my college graduation, despite previously telling me she couldn't make it ."
1183,53643,43229,71134.0,4559.0,3m,The Cleveland Browns had a successful draft and avoided overpaying their draft capital for Mitchell Trubisky. The Browns are my favorite team and it was extremely nice to see them do something right for once.,True,2.0,,achievement,1.0,The Browns are my favorite team and it was extremely nice to see them do something right for once.
462,172156,80018,108125.0,760.0,3m,I spent some time cuddling with the dog.,True,1.0,,affection,0.0,I spent some time cuddling with the dog.
906,22231,18013,45790.0,983.0,24h,My daughter lost a tooth which she has been hoping for so the tooth fairy can come.  It was awesome to see her face when she went to bed.,True,2.0,,affection,0.0,My daughter lost a tooth which she has been hoping for so the tooth fairy can come.
1392,20471,16434,44204.0,2605.0,24h,"I turned in my current car and upgraded to my dream vehicle, a RAV 4.",True,1.0,,achievement,0.0,"I turned in my current car and upgraded to my dream vehicle, a RAV 4."
